dataset,pred_len,k_label,actual_k_ratio,reduced_variate_k,mse_ratio,mae_ratio,slot_diagnostic_dir,cycle_loss,weighted_cycle_loss,cycle_current_weight,cycle_topr_jaccard,cycle_a_effective_support,cycle_b_effective_support,cycle_slot_overlap,cycle_topr_size,A_shape,B_shape,W_shape,A_eff_mean,A_top1_mean,A_top5_mean,A_row_top5_overlap,A_row_cosine,B_eff_mean,B_top1_mean,B_top5_mean,W_eff_support_mean,W_top1_mean,W_top5_mean,W_density_gt1e-4,W_diag_mass_mean
Weather,96,0.095,0.0952380952380952,2,1.15572997882991,1.1829782195262162,./results/Weather_pl96_mlp_slot_attention_ratio0.10_k2_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.71365876462031,0.0071365874903487,0.0099999997764825,0.3345588445663452,18.035032272338867,17.069520950317383,0.0909090936183929,11.0,"(2, 21)","(2, 21)","(21, 21)",16.64314952284363,0.08203844393265658,0.3882367080301258,0.0,0.5988508727434322,15.12498509667346,0.11640661761542509,0.4408830154747978,17.915015430372087,0.07527282090875886,0.35444468570969756,1.0,0.03910402707982731
Weather,96,0.190,0.1904761904761904,4,1.1043212645806741,1.1321422354869828,./results/Weather_pl96_mlp_slot_attention_ratio0.20_k4_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.8928605311308023,0.0089286051123333,0.0099999997764825,0.2121212184429168,16.416711807250977,15.887187957763672,0.3333333432674408,6.0,"(4, 21)","(4, 21)","(21, 21)",14.397513135830975,0.10746384189557007,0.4814745464444068,0.20370370370370372,0.6593659580331594,13.55878250460946,0.12923930684021778,0.5013249245396312,16.333882837825257,0.09624215871366884,0.40937242123811535,0.9977324263038548,0.04751934509950412
Weather,96,0.286,0.2857142857142857,6,1.0841513944243482,1.1164596798457544,./results/Weather_pl96_mlp_slot_attention_ratio0.30_k6_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.8003590664522394,0.0080035904749096,0.0099999997764825,0.071428582072258,16.500797271728516,16.844589233398438,0.1833333373069763,4.0,"(6, 21)","(6, 21)","(21, 21)",14.933354395681185,0.1158783761893201,0.4394991163682998,0.14338624338624337,0.6605089573964108,15.11320463665155,0.10770419446545382,0.4394598640349818,15.631923285239333,0.11477927246182765,0.4163224534892442,1.0,0.03998496062244211
Weather,192,0.095,0.0952380952380952,2,1.1261828531594391,1.1251774687824787,./results/Weather_pl192_mlp_slot_attention_ratio0.10_k2_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.7051662276006017,0.0070516621255603,0.0099999997764825,0.4666666686534881,13.332311630249023,17.14388656616211,0.4545454680919647,11.0,"(2, 21)","(2, 21)","(21, 21)",12.475212744437874,0.21094089618239864,0.5859388107595127,0.1111111111111111,0.449097175777498,15.166682138756242,0.11424893179325857,0.4401229228586207,10.334829062505849,0.22419237685659998,0.5787175797463542,1.0,0.057432489543627625
Weather,192,0.190,0.1904761904761904,4,1.0982964620739597,1.0940746337691996,./results/Weather_pl192_mlp_slot_attention_ratio0.20_k4_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.8403648138046265,0.0084036479566379,0.0099999997764825,0.2666666805744171,15.714401245117188,15.934799194335938,0.2777777910232544,6.0,"(4, 21)","(4, 21)","(21, 21)",14.262232832127383,0.14673856138627409,0.4929497529132546,0.25,0.5764122505599634,13.510725612482096,0.13243311721028636,0.5020074454497963,15.112431176964051,0.13114384997267603,0.44557472215709054,1.0,0.04875742852400129
Weather,192,0.286,0.2857142857142857,6,1.0699519982616505,1.0764535583883437,./results/Weather_pl192_mlp_slot_attention_ratio0.30_k6_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.8690057416704801,0.0086900572180878,0.0099999997764825,0.2349206507205963,15.759608268737791,16.89794921875,0.2333333492279052,4.0,"(6, 21)","(6, 21)","(21, 21)",13.290915442314548,0.14778328707452384,0.5053313628947999,0.22566137566137565,0.581623499258947,15.059305970341773,0.10683547700386531,0.442396012356036,14.741620463757112,0.1329388465409083,0.46690842057532,1.0,0.05453612923486558
Weather,336,0.095,0.0952380952380952,2,1.0722085050159622,1.068507174006843,./results/Weather_pl336_mlp_slot_attention_ratio0.10_k2_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll336_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.719332974871802,0.0071933295907284,0.0099999997764825,0.4327731132507324,17.760887145996094,17.233022689819336,0.5454545617103577,11.0,"(2, 21)","(2, 21)","(21, 21)",16.391185704370656,0.0924965459598243,0.3815409407894911,0.0,0.6198201297933262,15.231210954503984,0.11267356948776969,0.43978604316408076,16.580676715905735,0.10174881980511855,0.4064100501530445,0.9977324263038548,0.04516879835775521
Weather,336,0.190,0.1904761904761904,4,1.056435828704315,1.0571058014219448,./results/Weather_pl336_mlp_slot_attention_ratio0.20_k4_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll336_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.7659855873256111,0.0076598557022165,0.0099999997764825,0.3000000119209289,16.156723022460938,15.977506637573242,0.3333333432674408,6.0,"(4, 21)","(4, 21)","(21, 21)",14.952265308669348,0.14431836620845886,0.4879679043926742,0.30952380952380953,0.6347667911626507,13.544341711741243,0.13140442317539514,0.499567092971268,13.27478468530181,0.15311245491041953,0.5009711712648065,1.0,0.051786572701023034
Weather,336,0.286,0.2857142857142857,6,1.0277956655228715,1.0362997762989898,./results/Weather_pl336_mlp_slot_attention_ratio0.30_k6_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll336_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.8381167413688104,0.0083811672304653,0.0099999997764825,0.1349206417798996,15.109952926635742,16.752685546875,0.2166666835546493,4.0,"(6, 21)","(6, 21)","(21, 21)",13.311903872059093,0.14722753893308776,0.5203804326903044,0.1693121693121693,0.5563338976236173,14.926866250518804,0.10818985598780595,0.4474204843529881,13.893104431593821,0.14781684893869287,0.49468771833227293,1.0,0.05303858722821856
Weather,720,0.095,0.0952380952380952,2,1.0313087006653419,1.031409224796016,./results/Weather_pl720_mlp_slot_attention_ratio0.10_k2_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.6956908094110802,0.0069569079325217,0.0099999997764825,0.2986111044883728,16.006484985351562,17.25867462158203,0.3636363744735718,11.0,"(2, 21)","(2, 21)","(21, 21)",14.29392550889123,0.12217394368455375,0.4690481794169383,0.0,0.5172834840518784,15.234483189458867,0.1128035260472485,0.44047424217387643,15.169691266576589,0.1185306588777111,0.4419032389683227,1.0,0.04844436731614393
Weather,720,0.190,0.1904761904761904,4,1.0125700671338969,1.0166567060453426,./results/Weather_pl720_mlp_slot_attention_ratio0.20_k4_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.8455615679881376,0.0084556155005914,0.0099999997764825,0.2060606181621551,16.167831420898438,15.921392440795898,0.3611111342906952,6.0,"(4, 21)","(4, 21)","(21, 21)",13.68321341749633,0.1241890454176656,0.49244792703443274,0.25396825396825395,0.6392815128126496,13.819502490941723,0.12079616535817875,0.4823400883391195,15.24644562837798,0.11649833120881621,0.44508261392903087,1.0,0.04037416211782842
Weather,720,0.286,0.2857142857142857,6,1.0143032122886844,1.015756074183657,./results/Weather_pl720_mlp_slot_attention_ratio0.30_k6_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.8531873137314127,0.0085318729499588,0.0099999997764825,0.2904762029647827,15.42546844482422,17.113819122314453,0.25,4.0,"(6, 21)","(6, 21)","(21, 21)",13.301936731950436,0.12036275329730821,0.505617101220644,0.24444444444444444,0.5964332400697206,15.313771793598052,0.10486370362318538,0.43610014265657643,15.219300921059467,0.11250683523963663,0.4472561148097907,1.0,0.05694174030938419
Electricity,96,0.100,0.0996884735202492,32,1.2212949845701504,1.1927716921340057,./results/Electricity_pl96_mlp_slot_attention_ratio0.10_k32_ortho0_seed2021_slot_learned_linear_cycle0.01_cw0.2_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0/slot_diagnostics,0.6854589484592732,0.0068545893402622,0.0099999997764825,0.0684236586093902,243.61697387695312,256.8222045898437,0.1827346086502075,11.0,"(32, 321)","(32, 321)","(321, 321)",216.53525319486647,0.012765790961366166,0.05642290114441204,0.09423803123399897,0.6898532058590398,226.67452903269992,0.008948314264302518,0.03897437935262293,215.0675199742714,0.012684224752706353,0.05717163571707664,0.9845304296348055,0.0033703078117215683
