dataset,n,pass_cells,exact_wins,mean_mse_ratio,mean_mae_ratio,gm_mse_ratio,gm_mae_ratio
Electricity,12,0,0,1.1657698205931049,1.1520695084428112,1.1649499188847972,1.1516813813332663
Solar,12,0,0,1.0819384552803444,1.0415428763237686,1.081808627188001,1.041475080677428
Traffic,12,0,0,2.674328637912869,2.2328960430212077,2.5706389096345346,2.1597594128369826
Weather,12,0,0,1.0711046608884212,1.079418379379314,1.0702340674691062,1.0782761786852881
