dataset,pred_len,method_family,method_name,selection_id,selected_recipe,manual_override,variate_reduction_type,variate_expansion_type,expansion_weight_source,variate_decode_stage,loss_variant,forecast_loss_type,huber_delta,compute_reducer_aux_losses,variate_token_split_factor,num_variates,target_variate_tokens,source_variate_tokens,reduced_variate_k,reduced_variate_tokens,k_ratio,num_latents_K,target_k_ratio,actual_k_ratio,source_k_ratio,logical_k,executed_k,logical_k_ratio,executed_k_ratio,k_budget_max,k_budget_exception,lowrank_reducer_rank,decoder_residual_gate_init,backbone_residual_gate_init,backbone_residual_gate_type,backbone_residual_gate,backbone_residual_gate_abs_mean,backbone_residual_gate_max,local_temporal_rank,zero_init_projector,skip_backbone,k_selection_mode,k_ratio_denominator,target_k_value,variate_anchor_map_path,original_encoder_tokens,reduced_encoder_tokens,num_extra_tokens,token_ratio,token_reduction_percent,attention_score_ratio,attention_score_reduction_percent,eval_split,skip_epoch_test_eval,mse,mae,rmse,mape,mspe,orthogonal_loss_weight,reconstruction_loss_weight,coverage_loss_weight,assignment_entropy_loss_weight,wcomp_entropy_loss_weight,lambda_orth,lambda_entropy,mae_loss_weight,train_time_sec,train_iter_count,avg_train_iter_time_sec,throughput_iter_per_sec,elapsed_sec,parameter_count,peak_gpu_allocated_mb,peak_gpu_reserved_mb,gpu_memory_footprint_mb,expansion_temperature,expansion_topk,normalization,entmax_alpha,sparse_compress_topk,sparse_expand_topk,avg_comp_entropy,std_comp_entropy,avg_effective_support,std_effective_support,avg_top1_mass,avg_top5_mass,avg_top10_mass,avg_pairwise_overlap_top5,avg_pairwise_overlap_top10,avg_pairwise_cosine_between_latents,w_comp_density,w_exp_density,w_eff_density,avg_w_eff_entropy,avg_w_eff_top5_mass,residual_gate_mean,residual_gate_abs_mean,residual_gate_max,hybrid_linear_gate,local_temporal_branch,local_temporal_init,local_temporal_gate_init,local_temporal_gate,output_calibration,output_calibration_scale_abs_mean,output_calibration_bias_abs_mean,status,timestamp,git_commit,git_dirty,error,command,returncode,gpu,cuda_visible_devices,data,root_path,data_path,target,freq,seed,itr,model,model_id,setting,seq_len,label_len,e_layers,d_model,d_ff,batch_size,learning_rate,train_epochs,patience,num_workers,use_norm,checkpoint_dir,result_dir,weight_matrix_dir,plot_dir
Weather,96,iTransformer,iTransformer,,,0,none,slot_learned_linear,,feature,,mse,1.0,False,1,21,21,21,21,21,,,1.0,1.0,1.0,21,21,1.0,1.0,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,baseline,,21,,26,26,5,1.0,0.0,1.0,0.0,test,True,0.2324692192009096,0.36918300432804996,0.48215061879137894,3.102001614825893,2061.6856108226752,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2213280200958252,2,0.1106640100479126,9.036361501512953,1.513547658920288,4833888,,,,1.0,0,,,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-06 19:45:44,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl96_iTransformer_seed2021_smoke,Weather_pl96_iTransformer_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtbaseline_projection_0,96,48,3,512,512,32,0.0001,1,1,0,True,./checkpoints/Weather_pl96_iTransformer_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtbaseline_projection_0,./results/Weather_pl96_iTransformer_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtbaseline_projection_0/,,
Weather,96,MLP_attention,MLP_attention_softmax,,,0,MLP_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,2,2,0.1,2,0.1,0.09523809523809523,0.09523809523809523,2,2,0.09523809523809523,0.09523809523809523,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,2,,26,7,5,0.2692307692307692,73.07692307692308,0.07248520710059171,92.75147928994083,test,True,0.23583979551145243,0.37375658040908755,0.48563339620690466,2.5015270302395765,949.2901985053288,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13936209678649902,2,0.06968104839324951,14.351104397230582,4.8089070320129395,5097612,,,,1.0,0,softmax,1.5,0,0,3.039005756378174,0.0031229257583618164,20.884572982788086,0.06521987915039062,0.05673588812351227,0.27102339267730713,0.5201349258422852,0.0,0.20000000298023224,0.981821596622467,1.0,1.0,1.0,2.995673656463623,0.30609774589538574,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-06 19:45:51,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl96_MLP_attention_softmax_ratio0p1_k2_seed2021_smoke,Weather_pl96_MLP_attention_softmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,1,1,0,True,./checkpoints/Weather_pl96_MLP_attention_softmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl96_MLP_attention_softmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl96_MLP_attention_softmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/smoke/plots/MLP_attention_softmax/Weather_pl96_MLP_attention_softmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,96,latent_query_attention,latent_query_attention_entmax,,,0,latent_query_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,2,2,0.1,2,0.1,0.09523809523809523,0.09523809523809523,2,2,0.09523809523809523,0.09523809523809523,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,2,,26,7,5,0.2692307692307692,73.07692307692308,0.07248520710059171,92.75147928994083,test,True,0.23178434860110886,0.3746935608946914,0.4814398701822574,2.58169977399931,1052.0278560530699,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1327347755432129,2,0.06636738777160645,15.067641406067573,4.586579322814941,5359242,,,,1.0,0,entmax15,1.5,0,0,3.038414478302002,0.0007854700088500977,20.872127532958984,0.016393661499023438,0.060004811733961105,0.27250492572784424,0.5204970240592957,0.4000000059604645,0.699999988079071,0.9958609938621521,1.0,1.0,1.0,3.0167603492736816,0.30128681659698486,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-06 19:45:58,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl96_latent_query_attention_entmax_ratio0p1_k2_seed2021_smoke,Weather_pl96_latent_query_attention_entmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,1,1,0,True,./checkpoints/Weather_pl96_latent_query_attention_entmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl96_latent_query_attention_entmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl96_latent_query_attention_entmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/smoke/plots/latent_query_attention_entmax/Weather_pl96_latent_query_attention_entmax_ratio0p1_k2_seed2021_smoke_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
