dataset,pred_len,method_family,method_name,selection_id,selected_recipe,manual_override,variate_reduction_type,variate_expansion_type,expansion_weight_source,variate_decode_stage,loss_variant,forecast_loss_type,huber_delta,compute_reducer_aux_losses,variate_token_split_factor,num_variates,target_variate_tokens,source_variate_tokens,reduced_variate_k,reduced_variate_tokens,k_ratio,num_latents_K,target_k_ratio,actual_k_ratio,source_k_ratio,logical_k,executed_k,logical_k_ratio,executed_k_ratio,k_budget_max,k_budget_exception,lowrank_reducer_rank,decoder_residual_gate_init,backbone_residual_gate_init,backbone_residual_gate_type,backbone_residual_gate,backbone_residual_gate_abs_mean,backbone_residual_gate_max,local_temporal_rank,zero_init_projector,skip_backbone,k_selection_mode,k_ratio_denominator,target_k_value,variate_anchor_map_path,original_encoder_tokens,reduced_encoder_tokens,num_extra_tokens,token_ratio,token_reduction_percent,attention_score_ratio,attention_score_reduction_percent,eval_split,skip_epoch_test_eval,mse,mae,rmse,mape,mspe,orthogonal_loss_weight,reconstruction_loss_weight,coverage_loss_weight,assignment_entropy_loss_weight,wcomp_entropy_loss_weight,lambda_orth,lambda_entropy,mae_loss_weight,train_time_sec,train_iter_count,avg_train_iter_time_sec,throughput_iter_per_sec,elapsed_sec,parameter_count,peak_gpu_allocated_mb,peak_gpu_reserved_mb,gpu_memory_footprint_mb,expansion_temperature,expansion_topk,normalization,entmax_alpha,sparse_compress_topk,sparse_expand_topk,avg_comp_entropy,std_comp_entropy,avg_effective_support,std_effective_support,avg_top1_mass,avg_top5_mass,avg_top10_mass,avg_pairwise_overlap_top5,avg_pairwise_overlap_top10,avg_pairwise_cosine_between_latents,w_comp_density,w_exp_density,w_eff_density,avg_w_eff_entropy,avg_w_eff_top5_mass,residual_gate_mean,residual_gate_abs_mean,residual_gate_max,hybrid_linear_gate,local_temporal_branch,local_temporal_init,local_temporal_gate_init,local_temporal_gate,output_calibration,output_calibration_scale_abs_mean,output_calibration_bias_abs_mean,status,timestamp,git_commit,git_dirty,error,command,returncode,gpu,cuda_visible_devices,data,root_path,data_path,target,freq,seed,itr,model,model_id,setting,seq_len,label_len,e_layers,d_model,d_ff,batch_size,learning_rate,train_epochs,patience,num_workers,use_norm,checkpoint_dir,result_dir,weight_matrix_dir,plot_dir
Weather,720,latent_query_attention,latent_query_attention_softmax,,,0,latent_query_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,2,2,0.1,2,0.1,0.09523809523809523,0.09523809523809523,2,2,0.09523809523809523,0.09523809523809523,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,2,,26,7,5,0.2692307692307692,73.07692307692308,0.07248520710059171,92.75147928994083,test,True,0.3687498255996231,0.36029395296218514,0.6072477464755411,14.682405618765934,23357876.150022447,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,140.71137762069702,11270,0.012485481598997074,80.09302581330363,183.8428065776825,5679354,147.82666015625,214.0,147.82666015625,1.0,0,softmax,1.5,0,0,2.7611541748046875,0.12461328506469727,15.941062927246094,1.9762492179870605,0.14147089421749115,0.5010807514190674,0.7797539234161377,0.0,0.0,0.3797260820865631,1.0,1.0,1.0,2.8615987300872803,0.42820823192596436,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 00:37:49,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_latent_query_attention_softmax_ratio0p1_k2_seed2021,Weather_pl720_latent_query_attention_softmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_latent_query_attention_softmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_latent_query_attention_softmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_latent_query_attention_softmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/latent_query_attention_softmax/Weather_pl720_latent_query_attention_softmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,latent_query_attention,latent_query_attention_softmax_entropy,,,0,latent_query_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,2,2,0.1,2,0.1,0.09523809523809523,0.09523809523809523,2,2,0.09523809523809523,0.09523809523809523,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,2,,26,7,5,0.2692307692307692,73.07692307692308,0.07248520710059171,92.75147928994083,test,True,0.36859413142530695,0.3601733278104724,0.6071195363561503,14.62328158522261,23438878.73971333,0.01,0.0,0.0,0.0,0.001,0.01,0.001,0.0,143.28888249397278,11270,0.012714186556696786,78.65229879557512,187.44467568397522,5679354,147.83837890625,214.0,147.83837890625,1.0,0,softmax,1.5,0,0,2.7303731441497803,0.1368868350982666,15.482542037963867,2.1062169075012207,0.14274191856384277,0.5007660388946533,0.8048260807991028,0.0,0.0,0.3355342447757721,1.0,1.0,1.0,2.8736298084259033,0.4110648036003113,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 00:40:59,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_latent_query_attention_softmax_entropy_ratio0p1_k2_seed2021,Weather_pl720_latent_query_attention_softmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/latent_query_attention_softmax_entropy/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,latent_query_attention,latent_query_attention_entmax,,,0,latent_query_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,2,2,0.1,2,0.1,0.09523809523809523,0.09523809523809523,2,2,0.09523809523809523,0.09523809523809523,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,2,,26,7,5,0.2692307692307692,73.07692307692308,0.07248520710059171,92.75147928994083,test,True,0.36910721726696244,0.36041034409045974,0.6075419469196859,14.526440216199154,22992329.79752261,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,247.3375482559204,10143,0.02438504863018046,41.008735113299615,344.72465682029724,5679354,147.8935546875,214.0,147.8935546875,1.0,0,entmax15,1.5,0,0,2.352649688720703,0.0034542083740234375,10.513452529907227,0.0363154411315918,0.19537338614463806,0.6584897637367249,0.9235013127326965,0.0,0.30000001192092896,0.16196206212043762,0.7142857313156128,1.0,1.0,2.757423162460327,0.5085697174072266,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 00:46:46,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_latent_query_attention_entmax_ratio0p1_k2_seed2021,Weather_pl720_latent_query_attention_entmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_latent_query_attention_entmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_latent_query_attention_entmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_latent_query_attention_entmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/latent_query_attention_entmax/Weather_pl720_latent_query_attention_entmax_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,latent_query_attention,latent_query_attention_entmax_entropy,,,0,latent_query_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,2,2,0.1,2,0.1,0.09523809523809523,0.09523809523809523,2,2,0.09523809523809523,0.09523809523809523,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,2,,26,7,5,0.2692307692307692,73.07692307692308,0.07248520710059171,92.75147928994083,test,True,0.36841143197355647,0.35985660237086203,0.6069690535550857,14.419141451769118,22714641.894390646,0.01,0.0,0.0,0.0,0.001,0.01,0.001,0.0,273.58389139175415,11270,0.02427541183600303,41.193945822863164,370.5349590778351,5679354,147.9052734375,214.0,147.9052734375,1.0,0,entmax15,1.5,0,0,2.301560640335083,0.0032455921173095703,9.989812850952148,0.03242301940917969,0.2282918095588684,0.6690285205841064,0.9441360235214233,0.20000000298023224,0.30000001192092896,0.2801932096481323,0.6428571343421936,1.0,1.0,2.6821463108062744,0.5442705154418945,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 00:52:59,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_latent_query_attention_entmax_entropy_ratio0p1_k2_seed2021,Weather_pl720_latent_query_attention_entmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_latent_query_attention_entmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_latent_query_attention_entmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_latent_query_attention_entmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/latent_query_attention_entmax_entropy/Weather_pl720_latent_query_attention_entmax_entropy_ratio0p1_k2_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,MLP_attention,MLP_attention_softmax,,,0,MLP_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,6,6,0.3,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,6,,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,test,True,0.3611744973502234,0.3544006128867162,0.6009779508020435,13.701573427928707,21335167.9876028,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,126.61878609657288,10143,0.012483366469148464,80.10659644346832,168.2358021736145,5419860,152.751953125,212.0,152.751953125,1.0,0,softmax,1.5,0,0,2.267920970916748,0.3118928074836731,10.095087051391602,2.7521586418151855,0.2213815152645111,0.7112683653831482,0.9227721095085144,0.14666667580604553,0.39333340525627136,0.28905126452445984,1.0,1.0,1.0,2.665198564529419,0.5392864942550659,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 00:55:49,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_MLP_attention_softmax_ratio0p3_k6_seed2021,Weather_pl720_MLP_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_MLP_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_MLP_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_MLP_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/MLP_attention_softmax/Weather_pl720_MLP_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,MLP_attention,MLP_attention_softmax_entropy,,,0,MLP_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,6,6,0.3,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,6,,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,test,True,0.3603954417414289,0.3539685149317792,0.6003294443398799,14.03031282358566,22044975.98896334,0.01,0.0,0.0,0.0,0.001,0.01,0.001,0.0,113.54928779602051,9016,0.012594197847828361,79.40164289005764,156.29208302497864,5419860,152.7841796875,212.0,152.7841796875,1.0,0,softmax,1.5,0,0,2.2728145122528076,0.37688353657722473,10.377914428710938,3.6278953552246094,0.2131652534008026,0.7086474299430847,0.9119381904602051,0.1600000113248825,0.3799999952316284,0.30170077085494995,1.0,1.0,1.0,2.6721878051757812,0.535824716091156,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 00:58:28,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_MLP_attention_softmax_entropy_ratio0p3_k6_seed2021,Weather_pl720_MLP_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_MLP_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_MLP_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_MLP_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/MLP_attention_softmax_entropy/Weather_pl720_MLP_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,MLP_attention,MLP_attention_entmax,,,0,MLP_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,6,6,0.3,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,6,,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,test,True,0.3623148777716084,0.3562022345570549,0.601925973664211,14.639443655287048,23988674.941313326,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,218.79601168632507,9016,0.024267525697241023,41.20733248522696,314.2364158630371,5419860,152.853515625,216.0,152.853515625,1.0,0,entmax15,1.5,0,0,2.0855002403259277,0.6730785965919495,9.931902885437012,5.833498001098633,0.24416276812553406,0.7159292697906494,0.8876574039459229,0.1733333319425583,0.46000003814697266,0.34969669580459595,0.6587302088737488,1.0,1.0,2.6192004680633545,0.5681518316268921,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 01:03:44,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_MLP_attention_entmax_ratio0p3_k6_seed2021,Weather_pl720_MLP_attention_entmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_MLP_attention_entmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_MLP_attention_entmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_MLP_attention_entmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/MLP_attention_entmax/Weather_pl720_MLP_attention_entmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,MLP_attention,MLP_attention_entmax_entropy,,,0,MLP_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,6,6,0.3,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,6,,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,test,True,0.36531331452690124,0.3572311928145046,0.6044115440053253,14.51515334480434,22772448.747580253,0.01,0.0,0.0,0.0,0.001,0.01,0.001,0.0,223.6828076839447,9016,0.024809539450304424,40.30707631647429,322.23385071754456,5419860,152.8857421875,214.0,152.8857421875,1.0,0,entmax15,1.5,0,0,2.075469493865967,0.6699648499488831,9.852876663208008,5.937985897064209,0.264362633228302,0.7398511171340942,0.894246518611908,0.2800000309944153,0.5,0.40386900305747986,0.626984179019928,1.0,1.0,2.5635464191436768,0.6078323125839233,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 01:09:09,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_MLP_attention_entmax_entropy_ratio0p3_k6_seed2021,Weather_pl720_MLP_attention_entmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_MLP_attention_entmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_MLP_attention_entmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_MLP_attention_entmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/MLP_attention_entmax_entropy/Weather_pl720_MLP_attention_entmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,latent_query_attention,latent_query_attention_softmax,,,0,latent_query_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,6,6,0.3,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,6,,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,test,True,0.35989888625900573,0.3558882164489075,0.5999157326316803,14.25371217552728,21497085.77277255,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,126.38809490203857,10143,0.0124606225872068,80.25281184799628,168.3828125,5681486,154.67822265625,212.0,154.67822265625,1.0,0,softmax,1.5,0,0,2.7670845985412598,0.15733711421489716,16.095840454101562,2.262192487716675,0.1225268691778183,0.5035300254821777,0.779021680355072,0.41333335638046265,0.5199999809265137,0.6514516472816467,1.0,1.0,1.0,2.7375380992889404,0.5131097435951233,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 01:12:00,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_latent_query_attention_softmax_ratio0p3_k6_seed2021,Weather_pl720_latent_query_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_latent_query_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_latent_query_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_latent_query_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/latent_query_attention_softmax/Weather_pl720_latent_query_attention_softmax_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
Weather,720,latent_query_attention,latent_query_attention_softmax_entropy,,,0,latent_query_attention,slot_learned_linear,learned_expand_linear,feature,,mse,1.0,True,1,21,21,21,6,6,0.3,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,,6,,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,test,True,0.36106509320633007,0.35663513987392653,0.6008869221461972,14.091332915036713,20849530.474825628,0.01,0.0,0.0,0.0,0.001,0.01,0.001,0.0,144.77573895454407,11270,0.012846117032346413,77.84453445986897,188.20077514648438,5681486,154.71044921875,220.0,154.71044921875,1.0,0,softmax,1.5,0,0,2.716717481613159,0.17335282266139984,15.343160629272461,2.3848767280578613,0.13369053602218628,0.5329586267471313,0.7991815805435181,0.320000022649765,0.46666672825813293,0.5974993705749512,1.0,1.0,1.0,2.7241435050964355,0.5153952240943909,0.0,0.0,0.0,0.0,none,persistence,1.0,0.0,none,1.0,0.0,success,2026-07-07 01:15:10,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl720_latent_query_attention_softmax_entropy_ratio0p3_k6_seed2021,Weather_pl720_latent_query_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,96,48,3,512,512,32,0.0001,10,3,0,True,./checkpoints/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0,./results/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/,./results/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0/weight_matrices,./results/sparse_attention_wcomp/plots/latent_query_attention_softmax_entropy/Weather_pl720_latent_query_attention_softmax_entropy_ratio0p3_k6_seed2021_iTransformer_custom_M_ft96_sl48_ll720_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtsparse_wcomp_projection_0
